date,drive_count,drive_failures
2019-01-01,106918,4
2019-01-02,106836,4
2019-01-03,106884,7
2019-01-04,106747,3
2019-01-05,108015,3
2019-01-06,108015,2
2019-01-07,107969,8
2019-01-08,107877,7
2019-01-09,107831,1
2019-01-10,107462,10
2019-01-11,107463,7
2019-01-12,107370,1
2019-01-13,107187,4
2019-01-14,106865,5
2019-01-15,106267,7
2019-01-16,106266,4
2019-01-17,106268,6
2019-01-18,106222,2
2019-01-19,106222,2
2019-01-20,106220,1
2019-01-21,106221,10
2019-01-22,106221,6
2019-01-23,107488,12
2019-01-24,107303,6
2019-01-25,106983,6
2019-01-26,106936,2
2019-01-27,106885,4
2019-01-28,106889,6
2019-01-29,106890,2
2019-01-30,106154,1
2019-01-31,106093,2
2019-02-01,106032,3
2019-02-02,105846,4
2019-02-03,105847,4
2019-02-04,105785,4
2019-02-05,105970,3
2019-02-06,105739,7
2019-02-07,105693,10
2019-02-08,105694,7
2019-02-09,105693,1
2019-02-10,105648,7
2019-02-11,105648,14
2019-02-12,105648,3
2019-02-13,105372,2
2019-02-14,105326,7
2019-02-15,105325,5
2019-02-16,105325,2
2019-02-17,105326,4
2019-02-18,105326,4
2019-02-19,105322,3
2019-02-20,105326,2
2019-02-21,104493,5
2019-02-22,104314,4
2019-02-23,104130,2
2019-02-24,104036,8
2019-02-25,103974,5
2019-02-26,104037,6
2019-02-27,103946,4
2019-02-28,105166,4
2019-03-01,106386,4
2019-03-02,107606,2
2019-03-03,107376,5
2019-03-04,107376,8
2019-03-05,107915,1
2019-03-06,107702,3
2019-03-07,107610,1
2019-03-08,107732,5
2019-03-09,107732,1
2019-03-10,107685,4
2019-03-11,107623,3
2019-03-12,107579,4
2019-03-13,107226,10
2019-03-14,106966,7
2019-03-15,106903,5
2019-03-16,106901,5
2019-03-17,106902,4
2019-03-18,106831,14
2019-03-19,106903,12
2019-03-20,106856,6
2019-03-21,106856,2
2019-03-22,106765,7
2019-03-23,106534,2
2019-03-24,106305,3
2019-03-25,106075,8
2019-03-26,105800,7
2019-03-27,105661,3
2019-03-28,106882,6
2019-03-29,106606,6
2019-03-30,106560,1
2019-03-31,106238,0
2019-04-01,106236,12
2019-04-02,106237,10
2019-04-03,106008,9
2019-04-04,105956,10
2019-04-05,105824,4
2019-04-06,105776,1
2019-04-07,105778,2
2019-04-08,105731,3
2019-04-09,105732,8
2019-04-10,105732,4
2019-04-11,105669,3
2019-04-12,105671,1
2019-04-13,105671,2
2019-04-14,105670,1
2019-04-15,105669,11
2019-04-16,105670,1
2019-04-17,105732,6
2019-04-18,105731,7
2019-04-19,105670,5
2019-04-20,105670,3
2019-04-21,105671,3
2019-04-22,105671,8
2019-04-23,105670,8
2019-04-24,105730,5
2019-04-25,105732,6
2019-04-26,105731,4
2019-04-27,105732,2
2019-04-28,105732,4
2019-04-29,105625,6
2019-04-30,105624,1
2019-05-01,105670,5
2019-05-02,105778,8
2019-05-03,105777,2
2019-05-04,106998,4
2019-05-05,106935,1
2019-05-06,106936,15
2019-05-07,106936,8
2019-05-08,106937,6
2019-05-09,106997,3
2019-05-10,106998,5
2019-05-11,106998,5
2019-05-12,106997,2
2019-05-13,106936,10
2019-05-14,106997,12
2019-05-15,106997,8
2019-05-16,108218,4
2019-05-17,108217,8
2019-05-18,108218,2
2019-05-19,108218,2
2019-05-20,108218,7
2019-05-21,108218,6
2019-05-22,108218,8
2019-05-23,108216,3
2019-05-24,108217,5
2019-05-25,108217,1
2019-05-26,108218,2
2019-05-27,109438,2
2019-05-28,109436,10
2019-05-29,109436,7
2019-05-30,109438,6
2019-05-31,109392,4
2019-06-01,110611,2
2019-06-02,110611,7
2019-06-03,110610,6
2019-06-04,110657,7
2019-06-05,110656,10
2019-06-06,110657,9
2019-06-07,110715,5
2019-06-08,110718,5
2019-06-09,110718,10
2019-06-10,110716,1
2019-06-11,110655,12
2019-06-12,110656,7
2019-06-13,110660,5
2019-06-14,110656,0
2019-06-15,110656,4
2019-06-16,110594,5
2019-06-18,110595,13
2019-06-19,110699,8
2019-06-20,110702,11
2019-06-21,110640,2
2019-06-22,110701,1
2019-06-23,110702,1
2019-06-24,110701,10
2019-06-25,110701,9
2019-06-26,110702,6
2019-06-27,110701,7
2019-06-28,110702,7
2019-06-29,110702,1
2019-06-30,110640,0
2019-07-01,110638,8
2019-07-02,110640,6
2019-07-03,110700,6
2019-07-04,110702,3
2019-07-05,110700,2
2019-07-06,110637,4
2019-07-07,110640,2
2019-07-08,110641,10
2019-07-09,110594,8
2019-07-10,110593,9
2019-07-11,110653,5
2019-07-12,110656,6
2019-07-13,110731,1
2019-07-14,110732,6
2019-07-15,110686,10
2019-07-16,110685,14
2019-07-17,110684,4
2019-07-18,110765,13
2019-07-19,111312,16
2019-07-20,111266,5
2019-07-21,111265,3
2019-07-22,111206,11
2019-07-23,111206,9
2019-07-24,111851,7
2019-07-25,111852,5
2019-07-26,111853,11
2019-07-27,111790,3
2019-07-28,111734,8
2019-07-29,111669,11
2019-07-30,111796,6
2019-07-31,111856,8
2019-08-01,111857,3
2019-08-02,111858,11
2019-08-03,111858,6
2019-08-04,111858,5
2019-08-05,111858,7
2019-08-06,111856,6
2019-08-07,111796,10
2019-08-08,111795,3
2019-08-09,111796,5
2019-08-10,111734,2
2019-08-11,111734,3
2019-08-12,111734,8
2019-08-13,113014,7
2019-08-14,113014,2
2019-08-15,113014,8
2019-08-16,113014,6
2019-08-17,113015,3
2019-08-18,113012,3
2019-08-19,113015,5
2019-08-20,113015,4
2019-08-21,112969,7
2019-08-22,113013,2
2019-08-23,113017,7
2019-08-24,113014,8
2019-08-25,112983,12
2019-08-26,112926,0
2019-08-27,112926,13
2019-08-28,112924,7
2019-08-29,112924,10
2019-08-30,112877,9
2019-08-31,112985,9
2019-09-01,112919,5
2019-09-02,112922,2
2019-09-03,112886,10
2019-09-04,112951,12
2019-09-05,112953,7
2019-09-06,112955,12
2019-09-07,112956,8
2019-09-08,112833,5
2019-09-09,112786,11
2019-09-10,112893,4
2019-09-11,112893,4
2019-09-12,112948,5
2019-09-13,112953,13
2019-09-14,112956,4
2019-09-15,112954,7
2019-09-16,112891,9
2019-09-17,112953,16
2019-09-18,112954,11
2019-09-19,112955,7
2019-09-20,112954,11
2019-09-21,112956,6
2019-09-22,114174,6
2019-09-23,114173,9
2019-09-24,115395,3
2019-09-25,115396,5
2019-09-26,115394,4
2019-09-27,115395,10
2019-09-28,115257,5
2019-09-29,115260,0
2019-09-30,115150,0
2019-10-01,115259,9
2019-10-02,115258,18
2019-10-03,115255,8
2019-10-04,115257,6
2019-10-05,115259,3
2019-10-06,115259,6
2019-10-07,115256,6
2019-10-08,115259,6
2019-10-09,115258,9
2019-10-10,115258,10
2019-10-11,116479,10
2019-10-12,116477,4
2019-10-13,116477,7
2019-10-14,116414,16
2019-10-15,116472,0
2019-10-16,116472,13
2019-10-17,116478,5
2019-10-18,116479,3
2019-10-19,116480,4
2019-10-20,116477,2
2019-10-21,116478,12
2019-10-22,116478,6
2019-10-23,116480,11
2019-10-24,116480,6
2019-10-25,116479,6
2019-10-26,116418,5
2019-10-27,116413,6
2019-10-28,116415,8
2019-10-29,117639,8
2019-10-30,118918,7
2019-10-31,118918,10
2019-11-01,118919,14
2019-11-02,118918,6
2019-11-03,118919,12
2019-11-04,118917,16
2019-11-05,55980,5
2019-11-06,118918,8
2019-11-07,118920,7
2019-11-08,118919,8
2019-11-09,118920,14
2019-11-10,118918,11
2019-11-11,120135,12
2019-11-12,120137,6
2019-11-13,121297,9
2019-11-14,121358,11
2019-11-15,121358,15
2019-11-16,121356,11
2019-11-17,121293,12
2019-11-18,121293,16
2019-11-19,121294,12
2019-11-20,121358,16
2019-11-21,121359,6
2019-11-22,121352,15
2019-11-23,121359,5
2019-11-24,121360,7
2019-11-25,121360,10
2019-11-26,121352,7
2019-11-27,122580,8
2019-11-28,122578,1
2019-11-29,122577,0
2019-11-30,122578,13
2019-12-01,122579,8
2019-12-02,122580,12
2019-12-03,122578,1
2019-12-04,122580,7
2019-12-05,122580,7
2019-12-06,122580,6
2019-12-07,122580,6
2019-12-08,122579,5
2019-12-09,122518,3
2019-12-10,122580,8
2019-12-11,122579,2
2019-12-12,122575,4
2019-12-13,122579,10
2019-12-14,122580,6
2019-12-15,122575,5
2019-12-16,122578,7
2019-12-17,123800,2
2019-12-18,123800,7
2019-12-19,123794,4
2019-12-20,123800,7
2019-12-21,125014,6
2019-12-22,125018,1
2019-12-23,125020,4
2019-12-24,125020,4
2019-12-25,125020,1
2019-12-26,125017,4
2019-12-27,124958,1
2019-12-28,124957,5
2019-12-29,124958,1
2019-12-30,124896,9
2019-12-31,124956,0
2020-01-01,124955,6
2020-01-02,124902,4
2020-01-03,124959,10
2020-01-04,125019,3
2020-01-05,125020,6
2020-01-06,125019,13
2020-01-07,125018,5
2020-01-08,125020,5
2020-01-09,125020,4
2020-01-10,125020,6
2020-01-11,125020,1
2020-01-12,125020,6
2020-01-13,125019,11
2020-01-14,125017,5
2020-01-15,125020,4
2020-01-16,125020,4
2020-01-17,125019,5
2020-01-18,125019,5
2020-01-19,125019,4
2020-01-20,124972,11
2020-01-21,125462,4
2020-01-22,125506,4
2020-01-23,126239,8
2020-01-24,126239,3
2020-01-25,126239,6
2020-01-26,126240,6
2020-01-27,126240,9
2020-01-28,126240,6
2020-01-29,126239,4
2020-01-30,126238,3
2020-01-31,126240,4
2020-02-01,126240,1
2020-02-02,126220,6
2020-02-03,126239,5
2020-02-04,126240,9
2020-02-05,127460,6
2020-02-06,127460,4
2020-02-07,127454,6
2020-02-08,127460,5
2020-02-09,127460,5
2020-02-10,127459,6
2020-02-11,127460,5
2020-02-12,127459,2
2020-02-13,127460,4
2020-02-14,127459,5
2020-02-15,126238,6
2020-02-16,126240,5
2020-02-17,126234,2
2020-02-18,126232,4
2020-02-19,126240,2
2020-02-20,127460,5
2020-02-21,127458,5
2020-02-22,127459,2
2020-02-23,127459,5
2020-02-24,127459,2
2020-02-25,127460,3
2020-02-26,127460,3
2020-02-27,127460,5
2020-02-28,127460,3
2020-02-29,127459,0
2020-03-01,127460,6
2020-03-02,127457,7
2020-03-03,128679,6
2020-03-04,128678,1
2020-03-05,128680,4
2020-03-06,128680,4
2020-03-07,128679,0
2020-03-08,128680,1
2020-03-09,128679,8
2020-03-10,128679,6
2020-03-11,128677,3
2020-03-12,128679,3
2020-03-13,128680,2
2020-03-14,128680,5
2020-03-15,128677,0
2020-03-16,128679,5
2020-03-17,129899,6
2020-03-18,129897,6
2020-03-19,131058,2
2020-03-20,131118,4
2020-03-21,131120,3
2020-03-22,131119,2
2020-03-23,131059,4
2020-03-24,132338,1
2020-03-25,132340,2
2020-03-26,132311,10
2020-03-27,132340,7
2020-03-28,132339,3
2020-03-29,132340,1
2020-03-30,132340,1
2020-03-31,132339,0
2020-04-01,132340,3
2020-04-02,132339,3
2020-04-03,132339,5
2020-04-04,132339,10
2020-04-05,132340,1
2020-04-06,132340,7
2020-04-07,132339,3
2020-04-08,132339,3
2020-04-09,132339,5
2020-04-10,133560,1
2020-04-11,133560,8
2020-04-12,133560,2
2020-04-13,133558,1
2020-04-14,133560,4
2020-04-15,133560,3
2020-04-16,133560,1
2020-04-17,133560,8
2020-04-18,133559,3
2020-04-19,133559,3
2020-04-20,133528,3
2020-04-21,134750,3
2020-04-22,135257,5
2020-04-23,135259,4
2020-04-24,135258,4
2020-04-25,135259,2
2020-04-26,135259,2
2020-04-27,135258,5
2020-04-28,136476,2
2020-04-29,136479,4
2020-04-30,136479,1
2020-05-01,136540,3
2020-05-02,136536,2
2020-05-03,136539,4
2020-05-04,136538,4
2020-05-05,136540,8
2020-05-06,136537,7
2020-05-07,136355,5
2020-05-08,136356,2
2020-05-09,136352,5
2020-05-10,136356,4
2020-05-11,136357,4
2020-05-12,136357,3
2020-05-13,136479,5
2020-05-14,136539,6
2020-05-15,136412,3
2020-05-16,136957,0
2020-05-17,136958,2
2020-05-18,136956,8
2020-05-19,136956,7
2020-05-20,138176,4
2020-05-21,138178,6
2020-05-22,139337,5
2020-05-23,139275,2
2020-05-24,139276,3
2020-05-25,139276,1
2020-05-26,139273,7
2020-05-27,139273,3
2020-05-28,139274,1
2020-05-29,139396,3
2020-05-30,139334,3
2020-05-31,139331,1
2020-06-01,139286,8
2020-06-02,139334,2
2020-06-03,139456,1
2020-06-04,139518,4
2020-06-05,139396,3
2020-06-06,139392,2
2020-06-07,139333,0
2020-06-08,139395,7
2020-06-09,138457,1
2020-06-10,140555,3
2020-06-11,140492,3
2020-06-12,140371,5
2020-06-13,140311,2
2020-06-14,140313,0
2020-06-15,140283,2
2020-06-16,140313,6
2020-06-17,140496,2
2020-06-18,140372,1
2020-06-19,140311,0
2020-06-20,141408,4
2020-06-21,141345,3
2020-06-22,141347,1
2020-06-23,141410,4
2020-06-24,141653,3
2020-06-25,141714,4
2020-06-26,141654,5
2020-06-27,142813,3
2020-06-28,142628,2
2020-06-29,142630,3
2020-06-30,142630,0
2020-07-01,142507,2
2020-07-02,142383,4
2020-07-03,142383,4
2020-07-04,142377,2
2020-07-05,142329,5
2020-07-06,142314,4
2020-07-07,143726,7
2020-07-08,143970,2
2020-07-09,144030,6
2020-07-10,144147,5
2020-07-11,144063,5
2020-07-12,143756,4
2020-07-13,143751,7
2020-07-14,143754,6
2020-07-15,143692,5
2020-07-16,143547,7
2020-07-17,143576,4
2020-07-18,143630,5
2020-07-19,143632,1
2020-07-20,143600,5
2020-07-21,143723,3
2020-07-22,143788,3
2020-07-23,143666,2
2020-07-24,143605,3
2020-07-25,143665,7
2020-07-26,143665,1
2020-07-27,143667,7
2020-07-28,143826,2
2020-07-29,145313,5
2020-07-30,145435,9
2020-07-31,145190,3
2020-08-01,145070,1
2020-08-02,144857,3
2020-08-03,144887,4
2020-08-04,144931,6
2020-08-05,145109,8
2020-08-06,144922,4
2020-08-07,146085,0
2020-08-08,146084,3
2020-08-09,146086,5
2020-08-10,146084,4
2020-08-11,146157,5
2020-08-12,146400,3
2020-08-13,146704,4
2020-08-14,148058,0
2020-08-15,147936,6
2020-08-16,147509,3
2020-08-17,147488,3
2020-08-18,147510,2
2020-08-19,147329,5
2020-08-20,148222,8
2020-08-21,148400,3
2020-08-22,148523,3
2020-08-23,148584,4
2020-08-24,148562,6
2020-08-25,148660,5
2020-08-26,148911,5
2020-08-27,149032,2
2020-08-28,148972,1
2020-08-29,148607,4
2020-08-30,148544,2
2020-08-31,148542,3
2020-09-01,149767,4
2020-09-02,149767,7
2020-09-03,150009,3
2020-09-04,149951,1
2020-09-05,149920,0
2020-09-06,149887,2
2020-09-07,149887,5
2020-09-08,149821,8
2020-09-09,150010,6
2020-09-10,150102,6
2020-09-11,150283,3
2020-09-12,150172,4
2020-09-13,149939,0
2020-09-14,151160,8
2020-09-15,151167,5
2020-09-16,150926,3
2020-09-17,150804,3
2020-09-18,150843,2
2020-09-19,152024,8
2020-09-20,152022,2
2020-09-21,152021,2
2020-09-22,152176,7
2020-09-23,152362,10
2020-09-24,152323,5
2020-09-25,152385,2
2020-09-26,153726,3
2020-09-27,153725,3
2020-09-28,153703,3
2020-09-29,153725,3
2020-09-30,153727,0
2020-10-01,153725,5
2020-10-02,153722,4
2020-10-03,153719,3
2020-10-04,153719,2
2020-10-05,153717,7
2020-10-06,153967,3
2020-10-07,155250,4
2020-10-08,154578,7
2020-10-09,154274,3
2020-10-10,154213,2
2020-10-11,154211,7
2020-10-12,154204,1
2020-10-13,154391,3
2020-10-14,154653,5
2020-10-15,155131,5
2020-10-16,155070,3
2020-10-17,154949,3
2020-10-18,154888,3
2020-10-19,154825,3
2020-10-20,154887,8
2020-10-21,154522,4
2020-10-22,154158,4
2020-10-23,154279,3
2020-10-24,154338,1
2020-10-25,154338,5
2020-10-26,154335,10
2020-10-27,154946,4
2020-10-28,156344,8
2020-10-29,156702,4
2020-10-30,156433,6
2020-10-31,156179,5
2020-11-01,156097,3
2020-11-02,156097,2
2020-11-03,156222,9
2020-11-04,156340,7
2020-11-05,156766,5
2020-11-06,156929,0
2020-11-07,156927,4
2020-11-08,156889,6
2020-11-09,156886,8
2020-11-10,157125,5
2020-11-11,157987,7
2020-11-12,157498,3
2020-11-13,158415,3
2020-11-14,159575,0
2020-11-15,159514,3
2020-11-16,159497,6
2020-11-17,159758,4
2020-11-18,160123,3
2020-11-19,160125,9
2020-11-20,158904,9
2020-11-21,159082,2
2020-11-22,159085,4
2020-11-23,159020,10
2020-11-24,161509,8
2020-11-25,161712,6
2020-11-26,161692,0
2020-11-27,161672,1
2020-11-28,161692,5
2020-11-29,161631,5
2020-11-30,161565,3
2020-12-01,162190,4
2020-12-02,162249,10
2020-12-03,162033,6
2020-12-04,161819,5
2020-12-05,161755,0
2020-12-06,161819,1
2020-12-07,161819,2
2020-12-08,162008,8
2020-12-09,161675,5
2020-12-10,162821,4
2020-12-11,162910,5
2020-12-12,162684,2
2020-12-13,162625,2
2020-12-14,162624,5
2020-12-15,164009,10
2020-12-16,164090,1
2020-12-17,164152,5
2020-12-18,164274,8
2020-12-19,164452,2
2020-12-20,164452,4
2020-12-21,164390,7
2020-12-22,164457,2
2020-12-23,164457,3
2020-12-24,164997,7
2020-12-25,164995,4
2020-12-26,164991,4
2020-12-27,164994,3
2020-12-28,164941,3
2020-12-29,164993,3
2020-12-30,164929,4
2020-12-31,165530,0
2021-01-01,165512,4
2021-01-02,165457,3
2021-01-03,165503,2
2021-01-04,165504,10
2021-01-05,165533,5
2021-01-06,165289,3
2021-01-07,164922,4
2021-01-08,165098,10
2021-01-09,165065,4
2021-01-10,165035,3
2021-01-11,165088,8
2021-01-12,165202,7
2021-01-13,165186,7
2021-01-14,165636,6
2021-01-15,165576,5
2021-01-16,166116,2
2021-01-17,166035,3
2021-01-18,166035,1
2021-01-19,166049,4
2021-01-20,166364,9
2021-01-21,166362,5
2021-01-22,167338,3
2021-01-23,167032,2
2021-01-24,167031,6
2021-01-25,167032,5
2021-01-26,167156,4
2021-01-27,167402,1
2021-01-28,167518,4
2021-01-29,168796,7
2021-01-30,170011,2
2021-01-31,169740,2
2021-02-01,169740,6
2021-02-02,169834,2
2021-02-03,169956,9
2021-02-04,170044,11
2021-02-05,169984,1
2021-02-06,169977,6
2021-02-07,169917,5
2021-02-08,169854,8
2021-02-09,170157,5
2021-02-10,170161,5
2021-02-11,170235,2
2021-02-12,170107,3
2021-02-13,169804,3
2021-02-14,169564,2
2021-02-15,169502,7
2021-02-16,169374,5
2021-02-17,169743,5
2021-02-18,172339,2
2021-02-19,172373,5
2021-02-20,172433,6
2021-02-21,172066,4
2021-02-22,172123,4
2021-02-23,172249,5
2021-02-24,171882,5
2021-02-25,171941,5
2021-02-26,171274,5
2021-02-27,171183,4
2021-02-28,170929,4
2021-03-01,170936,1
2021-03-02,171303,7
2021-03-03,171547,4
2021-03-04,171423,6
2021-03-05,171097,2
2021-03-06,170869,3
2021-03-07,170872,3
2021-03-08,170796,3
2021-03-09,171119,3
2021-03-10,171240,7
2021-03-11,172645,10
2021-03-12,172403,5
2021-03-13,172157,4
2021-03-14,171791,0
2021-03-15,171425,3
2021-03-16,172198,3
2021-03-17,172341,4
2021-03-18,172401,6
2021-03-19,172527,8
2021-03-20,172338,4
2021-03-21,171854,4
2021-03-22,171912,5
2021-03-23,174100,3
2021-03-24,175383,3
2021-03-25,175381,5
2021-03-26,175502,3
2021-03-27,175139,6
2021-03-28,174893,2
2021-03-29,174894,5
2021-03-30,175075,2
2021-03-31,175443,0
2021-04-01,175626,8
2021-04-02,175505,3
2021-04-03,175319,4
2021-04-04,175259,4
2021-04-05,175257,8
2021-04-06,175622,7
2021-04-07,175501,3
2021-04-08,175320,12
2021-04-09,175136,2
2021-04-10,175200,8
2021-04-11,175046,1
2021-04-12,175077,3
2021-04-13,175383,1
2021-04-14,175446,7
2021-04-15,175567,10
2021-04-16,175384,9
2021-04-17,176720,4
2021-04-18,176382,3
2021-04-19,176442,6
2021-04-20,176665,5
2021-04-21,176665,2
2021-04-22,176665,11
2021-04-23,176842,8
2021-04-24,176675,2
2021-04-25,176355,9
2021-04-26,176350,6
2021-04-27,176598,4
2021-04-28,176540,7
2021-04-29,176781,5
2021-04-30,176720,6
2021-05-01,176780,6
2021-05-02,176473,5
2021-05-03,176414,4
2021-05-04,176660,5
2021-05-05,176723,6
2021-05-06,176756,5
2021-05-07,176539,2
2021-05-08,176537,5
2021-05-09,176601,2
2021-05-10,176600,9
2021-05-11,176837,6
2021-05-12,177023,7
2021-05-13,177144,8
2021-05-14,176721,5
2021-05-15,176600,6
2021-05-16,176418,6
2021-05-17,176359,13
2021-05-18,176601,6
2021-05-19,176723,8
2021-05-20,176782,6
2021-05-21,178249,4
